customer_id,name,phone,monthly_income,monthly_expenses,current_emi,remaining_principal,remaining_tenure_months,annual_interest_rate,savings_balance,previous_savings_balance,deal_purchase_ratio,credit_utilization,late_payment_days_last_6m
CUST-0023,Gaurav Chatterjee,+91-9888911293,63911.45,35713.23,14814.07,316267.59,24,0.115,111360.48,111365.89,0.4347,0.5319,1
CUST-0024,Divya Kapoor,+91-9867338102,40797.12,27988.84,17068.53,758671.03,60,0.125,7899.71,21949.61,0.9145,0.7903,12
CUST-0025,Meera Iyer,+91-9830279846,78434.56,38386.04,21958.13,468786.89,24,0.115,348255.58,392601.08,0.1788,0.3963,0
CUST-0026,Rajesh Malhotra,+91-9858978079,46539.35,25270.23,11246.26,338596.82,36,0.12,209480.22,215182.38,0.4613,0.488,0
CUST-0027,Priya Patel,+91-9812597480,78113.97,43577.22,17159.09,527932.23,36,0.105,101814.6,105234.47,0.2001,0.3804,0
CUST-0028,Meera Mehta,+91-9810070640,83206.46,50549.91,19619.98,882017.14,60,0.12,343512.7,333421.94,0.1314,0.5082,0
CUST-0029,Ananya Malhotra,+91-9824573458,55252.05,41206.65,29836.79,1254177.27,60,0.15,39695.54,142093.89,0.7711,0.8174,5
CUST-0030,Swati Gupta,+91-9820198499,69861.17,43962.15,24091.6,519483.72,24,0.105,327791.75,347191.5,0.2546,0.3204,0
CUST-0031,Siddharth Verma,+91-9882571674,76240.96,28544.97,12729.77,377805.64,36,0.13,131427.77,134598.92,0.1483,0.3197,0
CUST-0032,Amit Reddy,+91-9825814828,46811.89,32096.36,17484.49,362377.07,24,0.145,34549.71,119487.48,0.9098,0.8362,5
CUST-0033,Shreya Sharma,+91-9830812709,74277.07,43870.47,25668.68,1194230.85,60,0.105,205285.74,196803.37,0.4632,0.2367,0
CUST-0034,Suresh Nair,+91-9849521538,107847.04,46720.89,20234.72,425619.33,24,0.13,206898.52,220705.11,0.1124,0.4755,0
CUST-0035,Meera Kapoor,+91-9845154828,103142.56,61551.48,35064.34,1576318.92,60,0.12,544555.22,526339.67,0.1791,0.461,0
CUST-0036,Aditya Sharma,+91-9817468810,80113.83,48279.45,25449.42,548762.23,24,0.105,248222.1,249384.13,0.1981,0.5487,1
CUST-0037,Gaurav Iyer,+91-9841657524,79535.22,48110.4,15864.86,179031.22,12,0.115,168350.31,169183.04,0.2961,0.2575,0
CUST-0038,Priya Nair,+91-9891052418,77549.59,40192.51,25229.27,286212.88,12,0.105,137586.48,131499.18,0.267,0.2045,0
CUST-0039,Priya Nair,+91-9871580593,88167.38,41233.52,20939.31,440439.78,24,0.13,246422.54,256324.31,0.1609,0.4686,0
CUST-0040,Shreya Sharma,+91-9891251088,80760.98,40201.64,17424.21,524599.42,36,0.12,148712.45,143533.19,0.1979,0.2883,0
CUST-0041,Rohan Gupta,+91-9858566364,60901.8,32313.32,11861.83,551869.72,60,0.105,134861.07,137494.07,0.2745,0.5077,0
CUST-0042,Sneha Chatterjee,+91-9822433196,74375.61,41377.79,18767.3,565036.64,36,0.12,192331.17,182814.43,0.1098,0.3646,2
CUST-0043,Sneha Chatterjee,+91-9852758171,63371.52,30973.49,18979.4,563288.12,36,0.13,104852.43,114020.01,0.2422,0.2917,0
CUST-0044,Aditya Singh,+91-9892649048,78898.82,47513.9,13242.45,517214.79,48,0.105,334607.83,357601.57,0.0804,0.3648,0
CUST-0045,Aditya Rao,+91-9818411883,72759.33,53487.77,30749.29,887033.0,36,0.15,46888.25,135518.39,0.9164,0.8893,5
CUST-0046,Suresh Nair,+91-9838272916,47192.29,33316.35,19208.16,690177.63,48,0.15,42934.18,94480.28,0.7916,0.8444,25
CUST-0047,Shreya Deshmukh,+91-9867975251,67693.12,41269.25,21216.0,239417.55,12,0.115,141778.68,153649.61,0.1903,0.4578,2
CUST-0048,Divya Mehta,+91-9892405138,57590.33,49652.6,28999.95,866870.15,36,0.125,39710.35,171947.22,0.7366,0.8866,12
CUST-0049,Shreya Chatterjee,+91-9884531076,75507.95,71505.13,31295.84,902799.39,36,0.15,31221.94,115638.47,0.8553,0.887,18
CUST-0050,Rajesh Iyer,+91-9887822269,85259.42,55186.62,16284.58,490288.1,36,0.12,405171.85,443387.38,0.172,0.4698,0
CUST-0051,Suresh Iyer,+91-9818910852,82459.38,44538.58,27341.32,310173.06,12,0.105,298113.28,323928.82,0.5197,0.3659,0
CUST-0052,Rajesh Sharma,+91-9880790126,88386.16,47487.36,15324.36,461378.19,36,0.12,300709.27,327395.27,0.2414,0.3793,1
CUST-0053,Neha Mukherjee,+91-9893667964,90815.93,52054.23,14231.45,303828.98,24,0.115,246776.03,271682.41,0.3252,0.3916,1
CUST-0054,Kavita Iyer,+91-9885623580,89457.75,48516.9,25834.48,990243.72,48,0.115,195774.3,199521.27,0.3494,0.3348,2
CUST-0055,Arjun Malhotra,+91-9834062169,87533.48,43921.38,23834.57,905092.83,48,0.12,385838.4,410156.5,0.2758,0.3805,0
CUST-0056,Siddharth Nair,+91-9873655986,60155.93,38827.79,19116.33,216864.78,12,0.105,313740.35,330609.42,0.2564,0.4711,1
CUST-0057,Siddharth Patel,+91-9845453171,72998.99,45694.2,16006.43,340030.78,24,0.12,297320.27,309344.97,0.3268,0.3493,2
CUST-0058,Suresh Rao,+91-9890074928,61396.45,25406.11,15535.43,173935.38,12,0.13,145975.05,154946.83,0.2283,0.274,2
CUST-0059,Gaurav Patel,+91-9889594423,77233.35,31784.76,14530.49,676028.7,60,0.105,167860.43,178430.31,0.7489,0.3739,0
CUST-0060,Aarav Rao,+91-9887462428,45056.1,41416.88,20514.75,425181.23,24,0.145,54694.62,224219.08,0.8841,0.8438,5
CUST-0061,Gaurav Patel,+91-9862934615,66059.62,52956.85,30982.61,642134.19,24,0.145,46632.97,196728.23,0.8003,0.9158,18
CUST-0062,Shreya Bhat,+91-9850576287,69585.51,38301.64,13290.61,282337.65,24,0.12,224404.82,246212.68,0.2761,0.3999,0
CUST-0063,Pooja Deshmukh,+91-9830153729,89373.81,32198.56,28253.82,1284696.34,60,0.115,301189.21,307981.51,0.1526,0.1957,2
CUST-0064,Shreya Gupta,+91-9893976173,74035.61,37294.5,22087.59,476271.58,24,0.105,196642.31,195384.71,0.1165,0.4265,1
CUST-0065,Arjun Nair,+91-9844569361,71664.08,42605.47,17888.65,385730.53,24,0.105,201059.25,211010.27,0.1391,0.2566,0
CUST-0066,Kavita Verma,+91-9839063435,116411.43,70013.57,26876.64,573792.89,24,0.115,165812.75,163036.5,0.1865,0.3057,0
CUST-0067,Ananya Sharma,+91-9821952314,63669.26,33103.01,15612.34,686164.17,60,0.13,120192.06,114932.05,0.4827,0.3887,0
CUST-0068,Siddharth Chatterjee,+91-9833567809,57158.15,45649.2,27874.91,833240.38,36,0.125,21845.6,88425.67,0.8658,0.9098,12
CUST-0069,Deepika Patel,+91-9819004644,50981.77,47168.03,19238.67,575084.8,36,0.125,30334.89,74709.75,0.7963,0.9508,40
CUST-0070,Rajesh Reddy,+91-9832992356,68193.84,33880.57,13246.1,285623.76,24,0.105,270896.69,259487.98,0.2506,0.429,0
CUST-0071,Amit Singh,+91-9819913841,77007.71,45326.94,23026.3,874399.82,48,0.12,242527.31,255741.87,0.3039,0.3424,0
CUST-0072,Vikram Gupta,+91-9825170521,72196.93,36953.81,22247.1,252381.71,12,0.105,255541.36,288045.08,0.1652,0.4695,2
CUST-0073,Swati Kapoor,+91-9883823165,67785.76,44825.3,30229.49,1270684.12,60,0.15,23818.61,71353.84,0.6748,0.8274,25
CUST-0074,Vikram Sharma,+91-9896015965,32663.81,29588.4,16106.87,340473.28,24,0.125,14705.31,62877.68,0.6622,0.7752,5
CUST-0075,Shreya Mehta,+91-9891242298,70503.92,41308.49,11836.35,358938.35,36,0.115,226415.72,222658.76,0.2146,0.2423,0
CUST-0076,Siddharth Sharma,+91-9894912633,67560.46,43288.07,22075.87,655187.81,36,0.13,390685.82,384739.21,0.1579,0.4763,2
CUST-0077,Karan Rao,+91-9834586222,67582.37,62072.82,35279.71,1327302.99,48,0.125,40200.34,107833.34,0.7787,0.7602,12
CUST-0078,Deepika Chatterjee,+91-9881087566,62241.65,29411.42,13975.6,429986.07,36,0.105,74605.11,78821.83,0.2383,0.3785,0
CUST-0079,Kavita Gupta,+91-9899089996,90457.1,55503.48,27995.13,1093415.59,48,0.105,184367.7,181063.83,0.1222,0.4296,0
CUST-0080,Rahul Iyer,+91-9835214698,90603.09,31850.93,28448.41,1293544.12,60,0.115,337022.41,320246.79,0.2816,0.1836,0
CUST-0081,Rajesh Mukherjee,+91-9839263888,65347.16,49860.44,22990.08,476483.9,24,0.145,14771.1,40005.41,0.655,0.8494,12
CUST-0082,Aditya Bhat,+91-9825886372,57106.55,38281.44,23424.69,483116.31,24,0.15,9495.37,32810.55,0.7434,0.8928,18
CUST-0083,Sunita Verma,+91-9830353727,81127.69,39248.56,22676.38,885679.28,48,0.105,199785.67,192418.61,0.1158,0.1504,0
CUST-0084,Sneha Verma,+91-9839221379,56551.96,33277.6,16328.61,608652.1,48,0.13,92799.06,100789.05,0.2193,0.3179,0
CUST-0085,Swati Nair,+91-9853353746,57795.62,37289.35,13400.89,513660.21,48,0.115,128489.38,127541.25,0.2556,0.3393,0
CUST-0086,Sneha Mukherjee,+91-9899858638,69446.86,40906.93,14502.84,555898.35,48,0.115,236872.69,262764.64,0.2876,0.3466,2
CUST-0087,Divya Iyer,+91-9891576052,102014.11,48964.12,35385.66,396179.37,12,0.13,302874.23,328949.08,0.2791,0.4528,0
CUST-0088,Neha Mukherjee,+91-9845943815,65690.94,25017.59,17354.29,646884.48,48,0.13,129533.99,143155.9,0.283,0.183,1
CUST-0089,Swati Chatterjee,+91-9851208934,45634.31,37432.1,22264.66,646834.07,36,0.145,15528.33,37558.48,0.6782,0.8964,18
CUST-0090,Neha Mukherjee,+91-9898997222,80579.4,51103.87,22164.24,849562.53,48,0.115,311767.61,326383.18,0.1042,0.3424,0
CUST-0091,Pooja Bhat,+91-9892162634,92583.59,48882.62,25928.85,294149.33,12,0.105,319507.74,324557.08,0.4849,0.1675,0
CUST-0092,Sunita Nair,+91-9811940369,82589.87,41128.35,13735.13,413530.57,36,0.12,136748.61,141354.3,0.0372,0.3164,0
CUST-0093,Vikram Mehta,+91-9881297755,80276.32,51882.17,12685.41,142775.29,12,0.12,264987.91,274984.07,0.1219,0.3187,0
CUST-0094,Amit Patel,+91-9821186361,82992.9,44772.02,24617.57,746529.75,36,0.115,327602.98,370783.18,0.0738,0.2489,0
CUST-0095,Aditya Bhat,+91-9873640055,70627.65,38759.49,11939.77,134383.0,12,0.12,147264.43,151654.26,0.33,0.2439,0
CUST-0096,Rohan Nair,+91-9868016013,104265.51,41052.15,25011.92,742326.61,36,0.13,309212.68,304082.34,0.1706,0.4723,0
CUST-0097,Aditya Deshmukh,+91-9888774891,106151.22,38241.65,36870.42,414979.38,12,0.12,190791.34,183224.43,0.0671,0.1913,0
CUST-0098,Sneha Malhotra,+91-9886794548,51833.03,26254.42,11327.11,430135.17,48,0.12,61441.33,62153.19,0.249,0.1876,1
CUST-0099,Neha Iyer,+91-9899763925,59198.77,32469.91,20466.57,620650.29,36,0.115,83577.28,83479.45,0.2398,0.4682,0
CUST-0100,Aarav Sharma,+91-9824497054,99501.47,38007.36,28016.54,589302.95,24,0.13,113360.01,129846.51,0.0825,0.4454,0
CUST-0101,Priya Kapoor,+91-9875244261,81328.81,44753.46,25339.55,546393.16,24,0.105,356784.73,370027.39,0.1987,0.2798,0
CUST-0102,Rahul Deshmukh,+91-9844218900,108182.87,55574.2,25843.14,548995.93,24,0.12,343216.32,371923.81,0.6611,0.3576,2
CUST-0103,Suresh Kapoor,+91-9875147544,64755.12,30412.03,17227.09,642143.16,48,0.13,201779.0,222557.53,0.2435,0.2283,1
CUST-0104,Aditya Mukherjee,+91-9899268938,73546.71,30034.09,13478.64,502418.69,48,0.13,167692.87,181782.29,0.0302,0.4371,0
CUST-0105,Rajesh Kapoor,+91-9841349379,89683.4,45446.55,15662.72,600356.87,48,0.115,311597.08,307520.46,0.4318,0.3198,2
CUST-0106,Rahul Nair,+91-9891503616,59973.48,21037.21,16648.46,757002.53,60,0.115,157184.04,174277.61,0.2749,0.458,0
CUST-0107,Vikram Mehta,+91-9866728215,58778.71,28044.58,16664.35,354007.23,24,0.12,192577.78,200348.97,0.0795,0.2367,0
CUST-0108,Divya Singh,+91-9882892046,83381.11,35609.17,23046.8,260077.68,12,0.115,125405.56,126021.06,0.1137,0.4398,0
CUST-0109,Rahul Rao,+91-9824578363,103447.42,54927.04,22494.17,1022805.85,60,0.115,208420.18,224897.46,0.0303,0.3969,1
CUST-0110,Rajesh Malhotra,+91-9831958273,77942.51,33620.05,20932.43,634777.54,36,0.115,138494.1,144223.84,0.1585,0.5482,2
CUST-0111,Swati Rao,+91-9887202069,67070.07,42742.92,12412.03,139698.32,12,0.12,215723.39,209108.3,0.4841,0.4682,2
CUST-0112,Karan Reddy,+91-9833255666,69557.17,56083.07,33019.98,952536.24,36,0.15,62747.83,145530.01,0.873,0.9299,12
CUST-0113,Sneha Mehta,+91-9846968086,77125.75,35326.75,12920.77,397532.13,36,0.105,192609.4,194748.3,0.2399,0.5178,0
CUST-0114,Aditya Nair,+91-9827503547,76227.44,35383.79,24819.26,736608.85,36,0.13,147733.54,164537.79,0.1699,0.3417,0
CUST-0115,Ananya Deshmukh,+91-9888649101,56442.71,51897.86,29116.9,1237527.76,60,0.145,69854.0,283816.95,0.8299,0.778,40
CUST-0116,Priya Mehta,+91-9853663896,78628.0,49609.14,25571.48,1123869.29,60,0.13,400826.88,380812.19,0.2148,0.3758,0
CUST-0117,Pooja Mukherjee,+91-9878082045,93846.55,34473.04,27122.31,305263.73,12,0.12,158688.76,155269.0,0.2297,0.1749,0
CUST-0118,Ananya Reddy,+91-9853570727,51985.52,27925.0,13277.53,282059.78,24,0.12,208666.97,215127.24,0.322,0.2208,1
CUST-0119,Divya Iyer,+91-9857378941,42392.68,16539.13,9907.85,450508.34,60,0.115,120714.25,119258.31,0.0415,0.2295,1
CUST-0120,Karan Singh,+91-9892051235,87241.76,43603.45,17727.86,806082.79,60,0.115,127102.94,142727.97,0.0528,0.4938,0
CUST-0121,Suresh Chatterjee,+91-9883378188,61396.17,41788.99,29576.89,625207.71,24,0.125,53317.93,116821.84,0.7254,0.964,25
CUST-0122,Kavita Iyer,+91-9864254875,86131.43,46597.18,23495.51,892217.55,48,0.12,268653.8,263289.8,0.1486,0.1839,0
CUST-0123,Aarav Kapoor,+91-9899681330,56638.42,37020.72,30658.39,632305.92,24,0.15,25894.1,70984.52,0.7444,0.9282,18
CUST-0124,Amit Gupta,+91-9835258425,69228.45,50503.12,24519.95,1030686.29,60,0.15,65591.77,179630.42,0.8577,0.8937,12
CUST-0125,Aditya Verma,+91-9854786626,63627.44,53097.35,32127.2,679116.99,24,0.125,44678.26,94042.29,0.9115,0.9337,25
CUST-0126,Kavita Verma,+91-9844924917,75614.8,40450.13,13711.06,291269.3,24,0.12,108248.49,115794.1,0.2723,0.2155,0
CUST-0127,Swati Iyer,+91-9894749483,29445.84,26974.67,14109.33,521094.9,48,0.135,30926.3,128450.05,0.8786,0.9614,12
CUST-0128,Suresh Kapoor,+91-9819935869,82364.62,48013.16,23163.6,687470.51,36,0.13,281334.76,322672.38,0.2961,0.2354,0
CUST-0129,Gaurav Rao,+91-9870350924,65229.65,37667.22,19483.1,586587.57,36,0.12,112968.36,110744.45,0.328,0.2143,0
CUST-0130,Meera Rao,+91-9843121540,62167.33,38167.32,17500.85,197493.0,12,0.115,269465.47,299921.45,0.2139,0.3597,0
CUST-0131,Divya Malhotra,+91-9857380429,72840.97,68282.73,30854.57,1108650.39,48,0.15,21722.02,60039.88,0.8867,0.9792,25
CUST-0132,Aditya Kapoor,+91-9888877827,78370.27,36634.79,18223.0,828596.51,60,0.115,235238.52,240201.73,0.3426,0.4069,1
CUST-0133,Meera Chatterjee,+91-9876329075,62463.57,33171.05,17820.46,378566.84,24,0.12,138400.79,154318.25,0.1263,0.464,2
CUST-0134,Suresh Deshmukh,+91-9864248291,57874.66,25954.35,13704.94,291139.44,24,0.12,98860.85,105746.02,0.2863,0.4643,0
CUST-0135,Aditya Nair,+91-9847937226,102811.39,65294.88,19594.54,765310.77,48,0.105,501561.52,493064.48,0.2065,0.5218,0
CUST-0136,Suresh Patel,+91-9849929257,66248.81,32363.86,16309.21,741577.04,60,0.115,278317.01,303700.57,0.0763,0.1729,2
CUST-0137,Deepika Malhotra,+91-9815905950,77189.42,37947.72,11785.32,451735.13,48,0.115,137752.66,138075.16,0.296,0.4538,0
CUST-0138,Karan Nair,+91-9822310059,67636.69,50982.92,27936.52,1013001.82,48,0.145,13348.41,34598.55,0.8478,0.8761,40
CUST-0139,Pooja Chatterjee,+91-9863873131,105499.58,56687.84,26258.45,1193966.99,60,0.115,178528.84,195494.65,0.2304,0.5369,1
CUST-0140,Siddharth Sharma,+91-9815403252,84494.43,43799.11,21518.89,1001162.49,60,0.105,350798.7,383971.22,0.1481,0.3333,0
CUST-0141,Pooja Iyer,+91-9878546052,102172.57,61813.65,28997.03,609926.82,24,0.13,304483.22,328901.16,0.1344,0.3337,0
CUST-0142,Rajesh Singh,+91-9847026182,98741.81,56898.22,15165.67,681773.24,60,0.12,393333.24,442152.06,0.2407,0.1609,0
CUST-0143,Shreya Bhat,+91-9822756935,74521.22,34817.69,23076.9,876321.28,48,0.12,301020.88,308872.7,0.3864,0.381,1
CUST-0144,Kavita Reddy,+91-9885912072,76017.83,30208.46,21982.82,842608.61,48,0.115,152681.81,171222.85,0.3816,0.5076,0
CUST-0145,Meera Gupta,+91-9812843236,68945.27,36857.41,11492.68,128672.55,12,0.13,233472.28,236725.34,0.205,0.2792,0
CUST-0146,Neha Chatterjee,+91-9835698550,47758.93,31464.03,24576.35,724212.22,36,0.135,22596.7,100185.69,0.7409,0.8182,12
CUST-0147,Neha Patel,+91-9851156155,79155.94,38893.3,24880.88,971781.06,48,0.105,198343.58,208031.18,0.1163,0.4804,2
CUST-0148,Aarav Iyer,+91-9869565730,47047.43,41149.94,22593.57,949711.36,60,0.15,24343.64,99897.03,0.7772,0.9752,18
CUST-0149,Aarav Mehta,+91-9898238972,44554.89,19939.7,12799.08,486031.77,48,0.12,74872.5,83943.12,0.3557,0.4277,0
CUST-0150,Aditya Nair,+91-9881415950,61166.89,55745.14,30779.97,1105970.03,48,0.15,54682.83,144948.71,0.8949,0.9043,18
CUST-0151,Priya Rao,+91-9829339821,77693.73,47344.16,20148.29,606614.64,36,0.12,397908.54,386824.44,0.1636,0.262,0
CUST-0152,Amit Bhat,+91-9829413938,87651.21,56494.68,24040.0,270572.09,12,0.12,348479.33,368180.67,0.4575,0.1773,0
CUST-0153,Siddharth Singh,+91-9830060832,71067.39,31296.63,19164.85,589643.38,36,0.105,143796.85,157980.78,0.2201,0.2241,1
CUST-0154,Rajesh Singh,+91-9824689949,87785.27,45824.33,24734.82,966076.28,48,0.105,296024.09,288027.48,0.1282,0.5016,0
CUST-0155,Kavita Kapoor,+91-9839851990,84628.96,37666.99,20050.22,225666.83,12,0.12,318388.65,330702.65,0.3348,0.245,0
CUST-0156,Ananya Nair,+91-9833623755,81363.51,43138.55,24304.81,272117.68,12,0.13,293612.54,283097.23,0.2841,0.206,0
CUST-0157,Pooja Sharma,+91-9865685560,41883.74,20716.21,7925.22,235211.99,36,0.13,79138.41,78457.71,0.1994,0.1647,0
CUST-0158,Aarav Chatterjee,+91-9814460276,46872.41,29507.41,10752.67,500266.23,60,0.105,172184.29,167495.31,0.1741,0.4309,0
CUST-0159,Arjun Kapoor,+91-9848456876,75319.67,35893.47,17489.55,813698.1,60,0.105,142093.84,154160.67,0.4849,0.4952,2
CUST-0160,Gaurav Bhat,+91-9842672748,87279.46,51504.17,24659.32,1108560.64,60,0.12,318625.92,337716.95,0.1765,0.3151,1
CUST-0161,Siddharth Chatterjee,+91-9888039489,61557.16,32601.15,15415.8,467485.46,36,0.115,97033.58,95176.77,0.4005,0.4816,2
CUST-0162,Kavita Verma,+91-9860279504,38213.9,14342.35,8784.37,408691.37,60,0.105,118781.21,117974.72,0.3497,0.181,0
CUST-0163,Suresh Nair,+91-9843222265,69969.06,29238.93,15872.34,471073.77,36,0.13,185258.39,204130.7,0.243,0.2163,0
CUST-0164,Vikram Rao,+91-9861139392,94654.63,42801.05,15555.77,478603.01,36,0.105,114126.65,127756.56,0.3983,0.1921,0
CUST-0165,Karan Verma,+91-9882325956,92371.66,59416.75,23682.48,1040847.61,60,0.13,161782.55,160451.54,0.1631,0.2088,1
CUST-0166,Pooja Iyer,+91-9889108265,35643.18,23113.08,9234.3,429624.19,60,0.105,136860.09,134166.25,0.0869,0.2173,1
CUST-0167,Gaurav Patel,+91-9863410690,80958.67,34634.16,15295.1,173514.92,12,0.105,151835.66,152450.52,0.2014,0.2057,0
CUST-0168,Karan Deshmukh,+91-9828283361,79377.93,41341.07,21760.04,978223.31,60,0.12,206853.0,198142.82,0.5307,0.5138,0
CUST-0169,Divya Kapoor,+91-9838911861,57891.1,51358.26,21707.09,447692.07,24,0.15,23425.78,98217.88,0.9049,0.7842,18
CUST-0170,Meera Malhotra,+91-9872953195,46127.82,22945.15,11739.02,353432.49,36,0.12,195421.24,199809.15,0.2244,0.3908,0
CUST-0171,Rahul Kapoor,+91-9843214626,66461.85,45378.77,34612.83,731659.16,24,0.125,62199.47,263273.3,0.6669,0.9532,18
CUST-0172,Vikram Kapoor,+91-9821953070,104355.95,59150.22,30107.37,633281.77,24,0.13,254141.35,259667.18,0.2659,0.1535,0
CUST-0173,Sunita Rao,+91-9878587632,46792.49,30447.65,16790.66,746319.92,60,0.125,28641.77,62226.36,0.6515,0.9655,25
CUST-0174,Siddharth Deshmukh,+91-9850476928,63494.18,31511.42,10510.18,402858.68,48,0.115,67665.0,68424.7,0.1835,0.1524,0
CUST-0175,Neha Singh,+91-9871684647,77565.22,70012.1,30905.57,891541.28,36,0.15,21814.08,82354.16,0.8301,0.7986,12
CUST-0176,Rahul Patel,+91-9858383190,87442.12,39038.42,21448.45,243321.5,12,0.105,265062.08,303707.13,0.13,0.5055,2
CUST-0177,Pooja Chatterjee,+91-9848362595,55367.69,20570.91,15864.14,333688.14,24,0.13,93125.83,94116.58,0.4984,0.4383,0
CUST-0178,Gaurav Deshmukh,+91-9822988365,83343.26,35959.63,19209.73,216207.03,12,0.12,129685.39,143510.29,0.2683,0.3368,2
CUST-0179,Vikram Malhotra,+91-9896824767,78136.04,29736.05,17349.86,533801.59,36,0.105,249188.22,252345.33,0.2484,0.3009,0
CUST-0180,Amit Iyer,+91-9857423958,98531.68,55291.75,14865.74,691625.79,60,0.105,381642.75,376514.02,0.0666,0.2576,0
CUST-0181,Amit Patel,+91-9892245259,62940.34,24008.12,15717.1,585857.7,48,0.13,136943.97,142632.62,0.2458,0.457,0
CUST-0182,Vikram Kapoor,+91-9851006179,84333.11,41465.29,27495.24,307837.83,12,0.13,313781.37,336232.56,0.0815,0.2763,0
CUST-0183,Deepika Iyer,+91-9860316725,61469.23,23087.99,9749.1,453575.42,60,0.105,170913.54,189099.27,0.1105,0.5144,0
CUST-0184,Divya Sharma,+91-9858730509,36565.0,18621.87,9836.95,442220.31,60,0.12,155083.8,148621.67,0.2209,0.2379,0
CUST-0185,Deepika Gupta,+91-9865213557,73782.06,65005.5,37734.44,1127962.71,36,0.125,32102.77,65614.23,0.7292,0.9278,12
CUST-0186,Rahul Mehta,+91-9882412984,77471.41,46801.89,11986.3,355740.37,36,0.13,295374.98,326706.94,0.3958,0.2413,0
CUST-0187,Priya Malhotra,+91-9829975372,62572.54,30794.64,10109.78,212650.17,24,0.13,234883.75,260025.22,0.2137,0.2963,0
CUST-0188,Deepika Reddy,+91-9877873129,68093.9,29475.89,23583.01,895540.11,48,0.12,118717.4,128044.29,0.3647,0.3655,0
CUST-0189,Sneha Verma,+91-9821152153,59997.54,39139.54,28569.89,1026558.41,48,0.15,14044.28,61722.31,0.793,0.8056,40
CUST-0190,Suresh Bhat,+91-9869009476,55386.38,27005.26,14520.92,638195.96,60,0.13,101379.3,97323.7,0.2905,0.2288,0
CUST-0191,Meera Rao,+91-9876657978,83828.3,43662.97,16925.63,191001.79,12,0.115,252716.53,243774.49,0.2465,0.5132,0
